Codigo_Edi;Numero_Alt;AnoC;Numero_Viv;USO;Npot;LCZ.cat;BUFF_RSOL;BUFF_SVF;BUFF_NDVI;BUFF_ACUS;BUFF_ALBED;BUFF_OZONO;perimetro;area;conv;elon;num_vecinos;vol;comp
94;1;1973;0;3;4;2;0.36;0.69;0.197;61.872;0.139;53.004;90.22803147;508.8172;1;0.886225703;0;1780.8602;0.177328973
95;4;1960;0;3;4;8;0.36;0.576;0.167;61.881;0.197;53.031;160.9869041;934.23855;0.970059904;0.673043718;1;13079.3397;0.172318841
96;1;1960;0;2;4;6;0.4;0.6;0.196;61.897;0.215;53.034;22.43873246;26.8811;1;0.819087182;0;94.08385;0.834740113
97;4;2011;0;3;4;8;0.32;0.563;0.17;61.849;0.156;53.019;114.135839;674.53665;0.964473901;0.806650992;1;9443.5131;0.169206283
98;5;1957;0;1;3;2;0.28;0.495;0.194;61.896;0.198;53.043;53.73145518;161.4214;1;0.83821781;1;2824.8745;0.33286451
99;5;1957;0;1;3;2;0.24;0.464;0.314;61.881;0.2;53.038;53.52486582;160.33145;1;0.838607428;1;2805.800375;0.333838843
100;5;1957;0;1;3;2;0.24;0.45;0.204;61.897;0.158;53.048;53.26148822;159.46255;1;0.840467621;2;2790.594625;0.334006249
101;5;1957;0;1;3;8;0.28;0.432;0.298;61.867;0.203;53.034;53.61529591;161.1577;1;0.839347411;1;2820.25975;0.332688391
102;5;1957;0;1;3;8;0.32;0.476;0.232;61.854;0.169;53.029;53.37800603;159.5384;1;0.83883241;1;2791.922;0.334577795
103;5;1957;0;1;3;2;0.2;0.346;0.328;61.882;0.161;53.042;53.156333;158.62245;1;0.83990902;2;2775.892875;0.335112293
104;5;1957;0;1;3;2;0.24;0.442;0.214;61.898;0.169;53.05;53.09068925;158.6861;1;0.841116227;2;2777.00675;0.334564207
105;5;1957;0;1;3;2;0.2;0.336;0.327;61.869;0.165;53.035;53.27158302;159.71045;1;0.840961272;2;2794.932875;0.333551017
106;5;1957;0;1;3;8;0.24;0.413;0.264;61.856;0.169;53.031;53.27577673;159.33815;1;0.8399144;2;2788.417625;0.334356692
107;5;1957;0;1;3;2;0.2;0.344;0.324;61.883;0.167;53.044;53.04523685;158.22935;1;0.840624534;2;2769.013625;0.335242715
108;5;1957;0;1;3;2;0.2;0.335;0.332;61.869;0.171;53.039;53.17146288;159.4169;1;0.841770114;2;2789.79575;0.333537178
109;4;1957;0;1;3;2;0.24;0.454;0.197;61.9;0.163;53.054;52.8992479;157.854;1;0.841944046;2;2209.956;0.33511503
110;5;1957;0;1;3;8;0.24;0.358;0.298;61.855;0.171;53.034;52.97122847;157.8794;1;0.840867604;2;2762.8895;0.335517037
111;4;1957;0;1;3;2;0.28;0.351;0.347;61.885;0.174;53.048;52.87861854;157.5059;1;0.841343308;2;2205.0826;0.335724684
112;5;1957;0;1;3;8;0.24;0.347;0.328;61.87;0.174;53.043;53.07886824;159.2005;1;0.842666039;2;2786.00875;0.333408929
113;4;1957;0;1;3;8;0.32;0.479;0.195;61.902;0.169;53.056;53.12985332;159.0663;1;0.841502489;2;2226.9282;0.334010745
114;5;1957;0;1;3;8;0.24;0.366;0.25;61.856;0.175;53.036;52.81134968;156.86125;1;0.840689263;2;2745.071875;0.336675563
115;4;1957;0;1;3;8;0.36;0.413;0.292;61.889;0.169;53.052;52.99936126;157.8821;1;0.840428446;2;2210.3494;0.335689488
116;4;1957;0;1;3;8;0.36;0.509;0.188;61.905;0.165;53.059;53.95727081;162.946;1;0.838642388;1;2281.244;0.331135903
117;5;1957;0;1;3;8;0.32;0.368;0.285;61.875;0.17;53.045;53.19965605;159.6295;1;0.84188483;2;2793.51625;0.333269578
118;4;1957;0;1;3;8;0.4;0.524;0.227;61.891;0.169;53.055;53.75755784;161.1817;1;0.837188525;1;2256.5438;0.333521472
119;5;1957;0;1;3;8;0.32;0.431;0.188;61.858;0.173;53.039;52.84498694;156.6611;1;0.839617966;2;2741.56925;0.337320413
120;5;1957;0;1;3;8;0.44;0.558;0.227;61.878;0.166;53.049;53.89050855;162.42405;1;0.838335424;1;2842.420875;0.331788972
121;5;1957;0;1;3;8;0.44;0.528;0.173;61.863;0.164;53.044;53.64281821;160.20175;1;0.83642494;1;2803.530625;0.334845395
122;13;1972;30;1;4;4;0.32;0.682;0.317;61.935;0.119;52.977;127.2679086;502.28215;0.773526065;0.624251935;1;22853.83782;0.253379318
123;13;1972;30;1;4;4;0.32;0.592;0.266;61.922;0.12;52.985;128.2358558;505.65805;0.770126497;0.621618485;2;23007.44128;0.253601927
124;13;1972;30;1;4;4;0.28;0.564;0.216;61.915;0.133;52.991;128.0005176;509.79195;0.773313952;0.62530182;2;23195.53373;0.251083835
125;13;1972;30;1;4;4;0.4;0.639;0.254;61.909;0.123;52.999;127.5161192;505.6872;0.773952303;0.625145092;1;23008.7676;0.252164024
126;3;1970;0;2;4;4;0.44;0.664;0.186;61.902;0.13;53.006;40.60351429;108.61315;0.999099907;0.909876635;0;1140.438075;0.373836081
127;16;1970;40;1;4;4;0.36;0.673;0.21;61.908;0.129;53.011;110.0793319;592.0902;0.857282103;0.783597575;1;33157.0512;0.18591649
128;15;1970;40;1;4;4;0.24;0.647;0.187;61.908;0.141;53.016;107.5503291;567.6291;0.880350782;0.785281767;2;29800.52775;0.189472895
129;15;1970;40;1;4;4;0.24;0.648;0.183;61.91;0.133;53.023;108.4821088;573.7291;0.875655917;0.782708864;2;30120.77775;0.189082459
130;16;1970;40;1;4;6;0.24;0.625;0.237;61.911;0.135;53.03;111.625701;442.17535;0.76470602;0.667787057;2;24761.8196;0.252446684
131;9;1970;34;1;4;6;0.36;0.645;0.27;61.913;0.137;53.035;103.7121464;496.70675;0.887855713;0.761772588;2;15646.26263;0.208799551
132;9;1969;37;1;4;6;0.36;0.643;0.264;61.914;0.145;53.039;101.3367702;606.8304;0.999561026;0.861730646;3;19115.1576;0.166993562
